IPK,Penghasilan,Tanggungan,Prestasi,Semester,Status_Beasiswa
2.61,9525407,2,Tidak Ada,8,Tidak Layak
3.4,4651882,5,Ada,2,Layak
3.93,8237320,3,Tidak Ada,4,Tidak Layak
2.66,6782379,1,Tidak Ada,8,Tidak Layak
3.25,5658549,4,Tidak Ada,2,Tidak Layak
3.34,9911039,2,Tidak Ada,2,Tidak Layak
3.28,9784960,1,Ada,7,Tidak Layak
2.55,3447763,2,Tidak Ada,8,Tidak Layak
2.7,6373062,2,Tidak Ada,3,Tidak Layak
3.7,5500737,2,Ada,5,Layak
2.66,8758746,1,Tidak Ada,2,Tidak Layak
2.58,9921928,2,Tidak Ada,3,Tidak Layak
3.44,1600734,3,Tidak Ada,5,Layak
3.4,3368670,3,Ada,2,Layak
2.75,6255469,3,Tidak Ada,7,Tidak Layak
3.39,9474411,5,Ada,6,Layak
3.42,5332978,4,Ada,6,Layak
3.68,4476031,3,Tidak Ada,3,Layak
2.53,5448242,5,Tidak Ada,2,Tidak Layak
3.24,2890281,3,Ada,6,Layak
2.61,3446830,1,Ada,5,Layak
2.76,4105214,2,Ada,5,Layak
3.44,5688891,4,Tidak Ada,5,Tidak Layak
3.26,2924945,1,Ada,2,Layak
3.16,5725889,4,Tidak Ada,8,Tidak Layak
3.85,5943778,5,Tidak Ada,6,Layak
3.6,5714279,4,Tidak Ada,7,Layak
2.77,9037165,2,Ada,6,Tidak Layak
3.78,1888076,1,Tidak Ada,7,Layak
3.81,7040070,1,Tidak Ada,3,Tidak Layak
2.64,3460826,1,Ada,5,Layak
2.89,3590212,5,Ada,2,Layak
3.66,9949975,4,Ada,8,Layak
3.18,8696042,2,Ada,7,Tidak Layak
2.75,2542377,5,Tidak Ada,5,Layak
3.74,6654048,5,Tidak Ada,4,Layak
3.92,3442811,1,Ada,6,Layak
3.04,9980932,1,Ada,5,Tidak Layak
3.17,5515470,4,Ada,6,Layak
2.55,9561896,5,Tidak Ada,3,Tidak Layak
2.56,5864406,3,Tidak Ada,6,Tidak Layak
3.9,9000960,1,Ada,7,Layak
3.53,2680887,3,Ada,7,Layak
3.93,3396220,1,Ada,8,Layak
2.88,3928081,4,Tidak Ada,5,Tidak Layak
2.69,8181935,2,Tidak Ada,5,Tidak Layak
3.51,6490961,5,Ada,8,Layak
3.51,2300101,5,Ada,7,Layak
2.88,7839776,2,Ada,3,Tidak Layak
2.53,9917233,1,Tidak Ada,8,Tidak Layak
3.36,6916775,1,Tidak Ada,5,Tidak Layak
3.51,5070834,5,Tidak Ada,6,Layak
3.37,5440285,4,Tidak Ada,3,Tidak Layak
3.41,8824222,1,Ada,2,Tidak Layak
3.99,6376872,5,Ada,8,Layak
3.61,9216220,4,Tidak Ada,4,Tidak Layak
3.71,3932593,5,Ada,8,Layak
3.15,7633066,1,Tidak Ada,7,Tidak Layak
3.32,9456056,5,Ada,2,Layak
3.05,8549926,5,Ada,5,Layak
3.32,4537099,2,Ada,4,Layak
2.75,9879341,2,Tidak Ada,7,Tidak Layak
3.25,1725049,2,Tidak Ada,5,Layak
2.54,7530489,1,Tidak Ada,6,Tidak Layak
3.1,2071107,3,Tidak Ada,8,Layak
3.72,4279499,3,Ada,6,Layak
3.73,6544842,5,Tidak Ada,8,Layak
2.87,6882858,3,Ada,5,Layak
3.9,1758517,3,Tidak Ada,7,Layak
3.23,5838843,3,Tidak Ada,3,Tidak Layak
3.42,7113201,2,Ada,6,Layak
3.12,4903096,3,Ada,8,Layak
3.79,8912620,1,Tidak Ada,6,Tidak Layak
2.88,6230741,1,Tidak Ada,6,Tidak Layak
3.45,1711830,5,Tidak Ada,5,Layak
2.84,6255976,2,Tidak Ada,3,Tidak Layak
3.04,8310183,1,Tidak Ada,4,Tidak Layak
3.67,7377809,3,Tidak Ada,5,Tidak Layak
3.51,5521080,2,Ada,5,Layak
2.72,4381777,5,Ada,2,Layak
3.61,2512384,5,Ada,7,Layak
2.54,7283182,3,Tidak Ada,8,Tidak Layak
3.32,7849449,1,Tidak Ada,6,Tidak Layak
3.39,4391005,1,Tidak Ada,4,Tidak Layak
3.4,1757681,3,Tidak Ada,7,Layak
3.17,9491208,1,Ada,8,Tidak Layak
3.01,8616355,2,Tidak Ada,3,Tidak Layak
3.86,7059277,4,Tidak Ada,6,Layak
3.84,3480290,1,Tidak Ada,2,Layak
2.84,5810796,1,Tidak Ada,3,Tidak Layak
3.5,5577716,2,Ada,7,Layak
2.85,5668962,2,Ada,5,Layak
3.49,2280641,4,Tidak Ada,7,Layak
3.34,4051331,5,Ada,6,Layak
3.54,8865624,2,Tidak Ada,7,Tidak Layak
3.18,6811499,1,Tidak Ada,5,Tidak Layak
3.97,7498223,5,Ada,5,Layak
3.96,3626453,5,Tidak Ada,5,Layak
2.87,7627764,4,Tidak Ada,7,Tidak Layak
2.63,7359046,1,Ada,5,Tidak Layak
3.67,8859201,5,Tidak Ada,5,Tidak Layak
2.95,7486417,5,Tidak Ada,2,Tidak Layak
2.63,4824664,1,Ada,4,Layak
3.74,9617654,2,Tidak Ada,3,Tidak Layak
3.27,7612674,3,Ada,7,Layak
3.35,3294291,2,Tidak Ada,8,Layak
3.1,4378117,2,Ada,4,Layak
3.51,6787913,3,Tidak Ada,8,Tidak Layak
2.96,4233460,3,Tidak Ada,4,Tidak Layak
3.54,2752557,4,Tidak Ada,3,Layak
3.73,6772864,4,Ada,7,Layak
2.71,6685773,5,Tidak Ada,4,Tidak Layak
3.93,5717733,1,Ada,6,Layak
2.68,8679156,2,Tidak Ada,2,Tidak Layak
2.85,9404428,4,Tidak Ada,5,Tidak Layak
2.97,6246771,2,Ada,5,Layak
3.78,2928127,5,Ada,7,Layak
3.4,8015350,3,Ada,4,Layak
3.35,3115777,2,Ada,3,Layak
3.23,2991633,5,Ada,8,Layak
3.98,5360562,1,Ada,6,Layak
2.68,4743087,4,Ada,5,Layak
3.45,7814768,5,Ada,5,Layak
2.96,3044613,2,Ada,6,Layak
3.83,3930525,5,Ada,8,Layak
3.29,6508341,5,Ada,7,Layak
3.95,5757341,3,Ada,7,Layak
3.69,2002420,2,Ada,3,Layak
2.78,9062116,1,Ada,6,Tidak Layak
3.75,3185996,5,Ada,3,Layak
2.6,2852144,3,Ada,5,Layak
3.47,4107411,5,Tidak Ada,7,Layak
2.73,3463571,4,Tidak Ada,4,Tidak Layak
3.06,2317052,2,Ada,3,Layak
3.84,4021279,1,Tidak Ada,2,Layak
3.91,2744289,4,Tidak Ada,6,Layak
2.92,4211793,2,Tidak Ada,5,Tidak Layak
3.67,5423227,3,Ada,3,Layak
3.08,5389877,1,Ada,2,Layak
2.6,8936754,5,Tidak Ada,5,Tidak Layak
3.27,3820484,5,Tidak Ada,2,Layak
3.62,9109964,3,Tidak Ada,4,Tidak Layak
2.52,4793331,5,Tidak Ada,3,Tidak Layak
3.19,6722798,3,Ada,4,Layak
2.78,9981209,5,Ada,7,Tidak Layak
3.75,7571845,4,Ada,8,Layak
3.67,6997191,1,Ada,3,Layak
3.5,2757008,4,Tidak Ada,5,Layak
3.66,8770518,2,Tidak Ada,6,Tidak Layak
2.69,8714938,2,Tidak Ada,6,Tidak Layak
3.37,6812399,4,Tidak Ada,4,Tidak Layak
2.57,7654512,2,Ada,2,Tidak Layak
3.06,9681883,2,Ada,3,Tidak Layak
3.91,3250740,4,Tidak Ada,4,Layak
3.83,6995671,5,Ada,3,Layak
3.72,3056518,1,Tidak Ada,2,Layak
3.32,6377708,5,Tidak Ada,7,Tidak Layak
3.59,5395958,4,Tidak Ada,4,Layak
2.98,2765898,1,Tidak Ada,5,Tidak Layak
2.56,4731185,2,Ada,6,Layak
3.59,7423098,2,Ada,8,Layak
3.26,5190583,4,Ada,7,Layak
3.31,3664412,1,Tidak Ada,4,Tidak Layak
2.95,7449852,4,Ada,2,Layak
3.64,4471783,2,Tidak Ada,2,Layak
3.61,3898083,3,Tidak Ada,3,Layak
3.49,3207017,5,Tidak Ada,7,Layak
3.42,3753722,2,Ada,6,Layak
3.31,4599555,2,Tidak Ada,3,Tidak Layak
2.55,5976321,5,Ada,5,Layak
2.99,3435090,3,Ada,3,Layak
3.05,6242297,5,Tidak Ada,6,Tidak Layak
2.5,8920105,4,Tidak Ada,2,Tidak Layak
3.08,3665251,5,Tidak Ada,4,Layak
2.6,9483439,2,Ada,5,Tidak Layak
3.34,9768541,2,Tidak Ada,3,Tidak Layak
3.4,5067675,3,Ada,8,Layak
2.62,1943031,5,Tidak Ada,7,Layak
3.97,5416643,3,Tidak Ada,6,Layak
2.72,1790998,1,Ada,2,Layak
2.63,9497043,1,Ada,5,Tidak Layak
3.6,9833100,1,Ada,7,Tidak Layak
3.45,3627599,3,Ada,7,Layak
3.99,6335451,3,Ada,2,Layak
3.93,5290328,4,Ada,3,Layak
3.0,5937610,1,Tidak Ada,7,Tidak Layak
3.38,9448140,3,Ada,4,Layak
2.89,8528722,5,Ada,6,Layak
3.22,8314612,2,Tidak Ada,6,Tidak Layak
3.56,7413318,2,Ada,2,Layak
3.67,5151387,4,Tidak Ada,2,Layak
3.63,4528631,1,Tidak Ada,6,Layak
2.6,8484297,4,Ada,4,Tidak Layak
2.91,9962605,2,Tidak Ada,7,Tidak Layak
3.14,5964344,5,Tidak Ada,5,Tidak Layak
2.73,8058947,3,Tidak Ada,3,Tidak Layak
3.86,6528035,2,Ada,4,Layak
3.02,7495134,2,Tidak Ada,4,Tidak Layak
3.95,8262126,5,Tidak Ada,3,Tidak Layak
3.13,3012760,5,Tidak Ada,6,Layak
2.88,9363426,2,Ada,2,Tidak Layak
3.2,8902324,4,Ada,6,Layak
2.67,6903252,4,Ada,3,Layak
2.63,2188725,1,Ada,6,Layak
2.84,8518523,2,Ada,2,Tidak Layak
3.69,9933840,1,Tidak Ada,7,Tidak Layak
2.84,2879904,2,Ada,6,Layak
3.92,6854552,2,Tidak Ada,3,Tidak Layak
3.79,8050091,4,Ada,3,Layak
3.97,5885010,1,Tidak Ada,8,Layak
3.81,9570297,4,Tidak Ada,5,Tidak Layak
3.28,9043159,5,Ada,7,Layak
2.74,8316525,3,Ada,2,Tidak Layak
3.34,4633211,2,Ada,8,Layak
3.33,3226199,3,Tidak Ada,5,Layak
3.31,8882003,3,Tidak Ada,8,Tidak Layak
3.49,9190840,3,Tidak Ada,4,Tidak Layak
3.66,2774634,4,Tidak Ada,5,Layak
3.69,9101748,1,Ada,8,Layak
3.87,9140167,2,Tidak Ada,5,Tidak Layak
3.54,2756715,2,Ada,4,Layak
3.04,5302986,1,Tidak Ada,2,Tidak Layak
2.55,3268967,5,Tidak Ada,5,Tidak Layak
3.73,4343236,4,Tidak Ada,7,Layak
3.95,7535218,1,Tidak Ada,4,Tidak Layak
3.26,2078688,5,Ada,6,Layak
3.5,9483372,2,Tidak Ada,5,Tidak Layak
3.82,8837694,3,Ada,4,Layak
3.53,1739968,4,Ada,5,Layak
3.84,7004381,5,Ada,6,Layak
3.01,2527557,2,Tidak Ada,4,Layak
3.64,7188238,4,Tidak Ada,2,Tidak Layak
3.04,2033634,4,Tidak Ada,7,Layak
2.76,6123636,4,Tidak Ada,3,Tidak Layak
2.65,8341300,3,Tidak Ada,3,Tidak Layak
3.02,6362894,2,Tidak Ada,4,Tidak Layak
3.48,4989429,1,Ada,5,Layak
3.21,1794746,3,Ada,5,Layak
3.61,5257985,2,Ada,5,Layak
3.52,2653224,4,Tidak Ada,2,Layak
3.76,9799350,3,Tidak Ada,3,Tidak Layak
3.27,4176517,5,Ada,2,Layak
2.96,5017741,4,Tidak Ada,5,Tidak Layak
3.81,3388806,1,Ada,5,Layak
3.5,5558848,3,Ada,8,Layak
2.75,8986327,4,Ada,7,Tidak Layak
3.07,2521469,3,Tidak Ada,2,Layak
2.56,8470199,2,Tidak Ada,8,Tidak Layak
2.69,4322136,3,Tidak Ada,4,Tidak Layak
3.74,1914994,1,Tidak Ada,5,Layak
3.97,2576941,1,Ada,5,Layak
3.74,2664795,3,Ada,5,Layak
2.67,3909381,5,Ada,5,Layak
2.64,4443295,1,Tidak Ada,5,Tidak Layak
2.95,4511786,5,Ada,2,Layak
2.95,5819453,1,Tidak Ada,4,Tidak Layak
